date,entity,Arquivo_origem,TPV,Transactions,Average_Ticket,TPV_MA7
2025-03-04,PJ,Operations_analyst_data_2025-Q1.csv,73377292.63,1088978,67.38179525206202,133061139.29857144
2025-03-05,PF,Operations_analyst_data_2025-Q1.csv,84485965.31,255736,330.36398985672724,60948255.07428571
2025-03-05,PJ,Operations_analyst_data_2025-Q1.csv,155438671.96,1268632,122.524634377818,130422322.32142857
2025-03-06,PF,Operations_analyst_data_2025-Q1.csv,113454161.01,307712,368.70242632721505,66630207.894285716
2025-03-06,PJ,Operations_analyst_data_2025-Q1.csv,202861641.76,1547394,131.09889385638047,132644149.81142858
2025-03-07,PF,Operations_analyst_data_2025-Q1.csv,109114394.99,352091,309.9039594593443,70517898.87142858
2025-03-07,PJ,Operations_analyst_data_2025-Q1.csv,212114236.94,1826946,116.10317816728026,135125862.90857142
2025-03-08,PF,Operations_analyst_data_2025-Q1.csv,79281652.43,363812,217.91928916583294,73849347.81142858
2025-03-08,PJ,Operations_analyst_data_2025-Q1.csv,175123279.09,2014936,86.9125764242636,140011434.0757143
2025-03-09,PF,Operations_analyst_data_2025-Q1.csv,72751980.52,257036,283.0419883596072,79089727.12285714
2025-03-09,PJ,Operations_analyst_data_2025-Q1.csv,81289613.39,1142547,71.14771942860995,142863230.92571428
2025-03-10,PF,Operations_analyst_data_2025-Q1.csv,134131541.24,311463,430.6500009310897,91312836.98428571
2025-03-10,PJ,Operations_analyst_data_2025-Q1.csv,212742978.64,1425749,149.21488890400764,158992530.62999997
2025-03-11,PF,Operations_analyst_data_2025-Q1.csv,110794293.0,299617,369.78640397574236,100573426.92857143
2025-03-11,PJ,Operations_analyst_data_2025-Q1.csv,205975498.20000002,1447036,142.34303652431592,177935131.42571428
2025-03-12,PF,Operations_analyst_data_2025-Q1.csv,98865200.65,291568,339.0811085235691,102627603.40571427
2025-03-12,PJ,Operations_analyst_data_2025-Q1.csv,201028239.54,1484286,135.43767140564555,184447926.7942857
2025-03-13,PF,Operations_analyst_data_2025-Q1.csv,92938992.35,290004,320.4748636225707,99696865.02571428
2025-03-13,PJ,Operations_analyst_data_2025-Q1.csv,200596583.72,1504673,133.3157328668754,184124347.07428572
2025-03-14,PF,Operations_analyst_data_2025-Q1.csv,79921009.77,313782,254.70234038281353,95526381.42285714
2025-03-14,PJ,Operations_analyst_data_2025-Q1.csv,200686010.12,1730787,115.95072653076318,182491743.24285713
2025-03-15,PF,Operations_analyst_data_2025-Q1.csv,63624705.440000005,331126,192.14651051261455,93289674.71000001
2025-03-15,PJ,Operations_analyst_data_2025-Q1.csv,163031084.69,1856630,87.81021780861022,180764286.9
2025-03-16,PF,Operations_analyst_data_2025-Q1.csv,49796961.01,227472,218.9146840490258,90010386.20857143
2025-03-16,PJ,Operations_analyst_data_2025-Q1.csv,70760879.92999999,1084984,65.21836260258215,179260182.12000003
2025-03-17,PF,Operations_analyst_data_2025-Q1.csv,85494195.89,243118,351.65720304543476,83062194.01571429
2025-03-17,PJ,Operations_analyst_data_2025-Q1.csv,180855303.70000002,1287576,140.46184745599484,174704799.9857143
2025-03-18,PF,Operations_analyst_data_2025-Q1.csv,77686458.96000001,252872,307.21653231674526,78332503.43857144
2025-03-18,PJ,Operations_analyst_data_2025-Q1.csv,180662923.3,1388288,130.13360577920432,171088717.85714287
2025-03-19,PF,Operations_analyst_data_2025-Q1.csv,80499206.87,259891,309.7421875709432,75708790.04142857
2025-03-19,PJ,Operations_analyst_data_2025-Q1.csv,187080538.47,1404489,133.20185382014384,169096189.13285714
2025-03-20,PF,Operations_analyst_data_2025-Q1.csv,91251583.12,299447,304.7336694640454,75467731.58000001
2025-03-20,PJ,Operations_analyst_data_2025-Q1.csv,198030958.29,1536425,128.8907420082334,168729671.2142857
2025-03-21,PF,Operations_analyst_data_2025-Q1.csv,71288855.48,305438,233.39877644562893,74234566.68142858
2025-03-21,PJ,Operations_analyst_data_2025-Q1.csv,185947203.64000002,1706388,108.97123259188415,166624127.43142858
2025-03-22,PF,Operations_analyst_data_2025-Q1.csv,52015725.68,308870,168.40653245702075,72576141.00142857
2025-03-22,PJ,Operations_analyst_data_2025-Q1.csv,144991535.24,1768446,81.98810438090844,164047048.93857145
2025-03-23,PF,Operations_analyst_data_2025-Q1.csv,37880745.77,211313,179.2636788555366,70873824.53857143
2025-03-23,PJ,Operations_analyst_data_2025-Q1.csv,63397186.78,1078780,58.76748436196444,162995092.77428573
2025-03-24,PF,Operations_analyst_data_2025-Q1.csv,68664482.97,225418,304.60958295255926,68469579.8357143
2025-03-24,PJ,Operations_analyst_data_2025-Q1.csv,165625987.32,1261094,131.3351640083927,160819476.14857143
2025-03-25,PF,Operations_analyst_data_2025-Q1.csv,67444477.51,244899,275.3971127281043,67006439.62857143
2025-03-25,PJ,Operations_analyst_data_2025-Q1.csv,168340474.53,1381726,121.8334709848407,159059126.32428572
2025-03-26,PF,Operations_analyst_data_2025-Q1.csv,62383691.66,241034,258.81697876648104,64418508.88428571
2025-03-26,PJ,Operations_analyst_data_2025-Q1.csv,168656177.94,1404405,120.09084127441871,156427074.82
2025-03-27,PF,Operations_analyst_data_2025-Q1.csv,63272873.58,255697,247.45254570839705,60421550.378571436
2025-03-27,PJ,Operations_analyst_data_2025-Q1.csv,172503334.72,1486367,116.0570267773706,152780271.45285717
2025-03-28,PF,Operations_analyst_data_2025-Q1.csv,62086753.839999996,291745,212.81171516221357,59106964.43
2025-03-28,PJ,Operations_analyst_data_2025-Q1.csv,176634583.79,1687201,104.69089562535821,151449897.18857142
2025-03-29,PF,Operations_analyst_data_2025-Q1.csv,49349498.5,299736,164.64321436197187,58726074.83285714
2025-03-29,PJ,Operations_analyst_data_2025-Q1.csv,152190671.28,1863958,81.64919557200324,152478345.19428572
2025-03-30,PF,Operations_analyst_data_2025-Q1.csv,36160610.94,213029,169.74501565514552,58480341.285714276
2025-03-30,PJ,Operations_analyst_data_2025-Q1.csv,62802600.47,1131976,55.48050530223256,152393404.29285714
2025-03-31,PF,Operations_analyst_data_2025-Q1.csv,72949871.47,238210,306.2418516015281,59092539.64285714
2025-03-31,PJ,Operations_analyst_data_2025-Q1.csv,170166625.7,1322216,128.69805364630287,153042066.9185714
